Input Size,k,Hybrid Merge Sort Time,Merge Sort Time,Insertion Sort Time
40,80,2.9365000000000086e-05,4.8444589999999674e-05,2.9682500000000057e-05
40,90,2.946499999999963e-05,4.8444589999999674e-05,2.9682500000000057e-05
40,100,2.9277089999999452e-05,4.8444589999999674e-05,2.9682500000000057e-05
45,0,2.405457999999916e-05,5.509832999999964e-05,3.279541999999913e-05
45,10,2.4323750000000423e-05,5.509832999999964e-05,3.279541999999913e-05
45,20,2.4160420000000073e-05,5.509832999999964e-05,3.279541999999913e-05
45,30,2.421458000000043e-05,5.509832999999964e-05,3.279541999999913e-05
45,40,2.4484999999999644e-05,5.509832999999964e-05,3.279541999999913e-05
45,50,3.216125000000014e-05,5.509832999999964e-05,3.279541999999913e-05
45,60,3.232875000000024e-05,5.509832999999964e-05,3.279541999999913e-05
45,70,3.2328340000000735e-05,5.509832999999964e-05,3.279541999999913e-05
45,80,3.2426250000000544e-05,5.509832999999964e-05,3.279541999999913e-05
45,90,3.2511250000000215e-05,5.509832999999964e-05,3.279541999999913e-05
45,100,3.226583000000005e-05,5.509832999999964e-05,3.279541999999913e-05
50,0,3.2350409999999385e-05,6.148457999999968e-05,3.804542000000022e-05
50,10,3.2251250000000505e-05,6.148457999999968e-05,3.804542000000022e-05
50,20,3.193958999999968e-05,6.148457999999968e-05,3.804542000000022e-05
50,30,3.191541999999936e-05,6.148457999999968e-05,3.804542000000022e-05
50,40,3.1890829999999815e-05,6.148457999999968e-05,3.804542000000022e-05
50,50,3.811458999999906e-05,6.148457999999968e-05,3.804542000000022e-05
50,60,3.823582999999964e-05,6.148457999999968e-05,3.804542000000022e-05
50,70,3.829082999999955e-05,6.148457999999968e-05,3.804542000000022e-05
50,80,3.815082999999997e-05,6.148457999999968e-05,3.804542000000022e-05
50,90,3.833500000000045e-05,6.148457999999968e-05,3.804542000000022e-05
50,100,3.9702910000000145e-05,6.148457999999968e-05,3.804542000000022e-05
55,0,3.477208000000065e-05,6.867874999999968e-05,5.210082999999921e-05
55,10,3.5656250000000165e-05,6.867874999999968e-05,5.210082999999921e-05
55,20,3.492999999999968e-05,6.867874999999968e-05,5.210082999999921e-05
55,30,3.466542000000072e-05,6.867874999999968e-05,5.210082999999921e-05
55,40,3.483416999999989e-05,6.867874999999968e-05,5.210082999999921e-05
55,50,3.470124999999991e-05,6.867874999999968e-05,5.210082999999921e-05
55,60,5.0899580000000056e-05,6.867874999999968e-05,5.210082999999921e-05
55,70,5.097125000000035e-05,6.867874999999968e-05,5.210082999999921e-05
